CROP_TYPE,SOIL_TYPE,REGION,TEMPERATURE,WEATHER_CONDITION,WATER_REQUIREMENT
BANANA,DRY,DESERT,Oct-20,NORMAL,8.75
BANANA,DRY,DESERT,Oct-20,SUNNY,10.25
BANANA,DRY,DESERT,Oct-20,WINDY,9.65
BANANA,DRY,DESERT,Oct-20,RAINY,0.75
BANANA,DRY,DESERT,20-30,NORMAL,9.85
BANANA,DRY,DESERT,20-30,SUNNY,11.35
BANANA,DRY,DESERT,20-30,WINDY,10.75
BANANA,DRY,DESERT,20-30,RAINY,0.85
BANANA,DRY,DESERT,30-40,NORMAL,10.75
BANANA,DRY,DESERT,30-40,SUNNY,12.25
BANANA,DRY,DESERT,30-40,WINDY,11.65
BANANA,DRY,DESERT,30-40,RAINY,2.75
BANANA,DRY,DESERT,40-50,NORMAL,11.75
BANANA,DRY,DESERT,40-50,SUNNY,13.25
BANANA,DRY,DESERT,40-50,WINDY,12.65
BANANA,DRY,DESERT,40-50,RAINY,3.75
BANANA,DRY,SEMI ARID,Oct-20,NORMAL,7.98
BANANA,DRY,SEMI ARID,Oct-20,SUNNY,9.4
BANANA,DRY,SEMI ARID,Oct-20,WINDY,8.8
BANANA,DRY,SEMI ARID,Oct-20,RAINY,0.25
BANANA,DRY,SEMI ARID,20-30,NORMAL,8.98
BANANA,DRY,SEMI ARID,20-30,SUNNY,10.4
BANANA,DRY,SEMI ARID,20-30,WINDY,9.7
BANANA,DRY,SEMI ARID,20-30,RAINY,0.98
BANANA,DRY,SEMI ARID,30-40,NORMAL,9.98
BANANA,DRY,SEMI ARID,30-40,SUNNY,11.4
BANANA,DRY,SEMI ARID,30-40,WINDY,10.8
BANANA,DRY,SEMI ARID,30-40,RAINY,1.98
BANANA,DRY,SEMI ARID,40-50,NORMAL,10.9
BANANA,DRY,SEMI ARID,40-50,SUNNY,12.4
BANANA,DRY,SEMI ARID,40-50,WINDY,11.8
BANANA,DRY,SEMI ARID,40-50,RAINY,2.7
BANANA,DRY,SEMI HUMID,Oct-20,NORMAL,6.95
BANANA,DRY,SEMI HUMID,Oct-20,SUNNY,8.45
BANANA,DRY,SEMI HUMID,Oct-20,WINDY,7.8
BANANA,DRY,SEMI HUMID,Oct-20,RAINY,0.1
BANANA,DRY,SEMI HUMID,20-30,NORMAL,7.95
BANANA,DRY,SEMI HUMID,20-30,SUNNY,9.45
BANANA,DRY,SEMI HUMID,20-30,WINDY,8.8
BANANA,DRY,SEMI HUMID,20-30,RAINY,0.5
BANANA,DRY,SEMI HUMID,30-40,NORMAL,8.95
BANANA,DRY,SEMI HUMID,30-40,SUNNY,10.45
BANANA,DRY,SEMI HUMID,30-40,WINDY,9.9
BANANA,DRY,SEMI HUMID,30-40,RAINY,0.95
BANANA,DRY,SEMI HUMID,40-50,NORMAL,9.9
BANANA,DRY,SEMI HUMID,40-50,SUNNY,11.4
BANANA,DRY,SEMI HUMID,40-50,WINDY,10.9
BANANA,DRY,SEMI HUMID,40-50,RAINY,1.9
BANANA,DRY,HUMID,Oct-20,NORMAL,5.65
BANANA,DRY,HUMID,Oct-20,SUNNY,7.15
BANANA,DRY,HUMID,Oct-20,WINDY,6.6
BANANA,DRY,HUMID,Oct-20,RAINY,0.1
BANANA,DRY,HUMID,20-30,NORMAL,6.6
BANANA,DRY,HUMID,20-30,SUNNY,8.1
BANANA,DRY,HUMID,20-30,WINDY,7.6
BANANA,DRY,HUMID,20-30,RAINY,0.3
BANANA,DRY,HUMID,30-40,NORMAL,7.68
BANANA,DRY,HUMID,30-40,SUNNY,8.18
BANANA,DRY,HUMID,30-40,WINDY,8.6
BANANA,DRY,HUMID,30-40,RAINY,0.8
BANANA,DRY,HUMID,40-50,NORMAL,8.65
BANANA,DRY,HUMID,40-50,SUNNY,10.15
BANANA,DRY,HUMID,40-50,WINDY,9.65
BANANA,DRY,HUMID,40-50,RAINY,0.65
BANANA,HUMID,DESERT,Oct-20,NORMAL,6.695
BANANA,HUMID,DESERT,Oct-20,SUNNY,8.2
BANANA,HUMID,DESERT,Oct-20,WINDY,7.7
BANANA,HUMID,DESERT,Oct-20,RAINY,0.6
BANANA,HUMID,DESERT,20-30,NORMAL,7.695
BANANA,HUMID,DESERT,20-30,SUNNY,9.2
BANANA,HUMID,DESERT,20-30,WINDY,8.7
BANANA,HUMID,DESERT,20-30,RAINY,0.8
BANANA,HUMID,DESERT,30-40,NORMAL,8.7
BANANA,HUMID,DESERT,30-40,SUNNY,10.2
BANANA,HUMID,DESERT,30-40,WINDY,9.6
BANANA,HUMID,DESERT,30-40,RAINY,0.7
BANANA,HUMID,DESERT,40-50,NORMAL,9.5
BANANA,HUMID,DESERT,40-50,SUNNY,11
BANANA,HUMID,DESERT,40-50,WINDY,10.5
BANANA,HUMID,DESERT,40-50,RAINY,1.5
BANANA,HUMID,SEMI ARID,Oct-20,NORMAL,5.92
BANANA,HUMID,SEMI ARID,Oct-20,SUNNY,7.42
BANANA,HUMID,SEMI ARID,Oct-20,WINDY,6.9
BANANA,HUMID,SEMI ARID,Oct-20,RAINY,0.1
BANANA,HUMID,SEMI ARID,20-30,NORMAL,6.92
BANANA,HUMID,SEMI ARID,20-30,SUNNY,8.42
BANANA,HUMID,SEMI ARID,20-30,WINDY,7.9
BANANA,HUMID,SEMI ARID,20-30,RAINY,0.5
BANANA,HUMID,SEMI ARID,30-40,NORMAL,7.92
BANANA,HUMID,SEMI ARID,30-40,SUNNY,9.42
BANANA,HUMID,SEMI ARID,30-40,WINDY,8.9
BANANA,HUMID,SEMI ARID,30-40,RAINY,0.8
BANANA,HUMID,SEMI ARID,40-50,NORMAL,8.92
BANANA,HUMID,SEMI ARID,40-50,SUNNY,10.42
BANANA,HUMID,SEMI ARID,40-50,WINDY,9.9
BANANA,HUMID,SEMI ARID,40-50,RAINY,0.92
BANANA,HUMID,SEMI HUMID,Oct-20,NORMAL,4.89
BANANA,HUMID,SEMI HUMID,Oct-20,SUNNY,6.39
BANANA,HUMID,SEMI HUMID,Oct-20,WINDY,5.8
BANANA,HUMID,SEMI HUMID,Oct-20,RAINY,0.1
BANANA,HUMID,SEMI HUMID,20-30,NORMAL,5.6
BANANA,HUMID,SEMI HUMID,20-30,SUNNY,7.1
BANANA,HUMID,SEMI HUMID,20-30,WINDY,6.6
