State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,21400,2600
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Bajra,1400,500
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Castor seed,1000,100
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton(lint),7300,9400
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Dry chillies,3700,7100
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,650800,228400
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Horse-gram,3300,1000
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Jowar,10100,10200
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Korra,2200,700
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,2800,4900
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Moong(Green Gram),1300,500
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Other Kharif pulses,800,100
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Ragi,6700,11800
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600,75400
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,700,72900
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sunflower,35900,11100
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Tobacco,200,200
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Dry chillies,100,100
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Gram,28000,14800
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Groundnut,20200,21700
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Horse-gram,600,200
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Jowar,18800,9400
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Korra,100,100
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Maize,600,2400
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Ragi,600,1000
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000,37300
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Sunflower,30100,11100
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,300,200
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Arhar/Tur,27400,9100
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Bajra,2600,1900
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Castor seed,3200,1000
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Cotton(lint),14000,12900
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Dry chillies,4000,10000
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Groundnut,755200,867800
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Horse-gram,2300,900
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Jowar,3700,5800
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Korra,4600,3400
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Maize,3300,6700
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Moong(Green Gram),2100,1300
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Other Kharif pulses,2000,300
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Ragi,7000,14900
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300,96800
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Sunflower,21300,12200
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Dry chillies,200,200
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Gram,26200,25900
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Groundnut,25900,35800
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Horse-gram,700,500
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Jowar,14800,22100
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Maize,300,1600
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Ragi,700,1200
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600,63900
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Sunflower,13500,3300
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Wheat,400,200
Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Sugarcane,700,65900
Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Tobacco,100,100
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Bajra,1635,889
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Castor seed,1880,355
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Cotton(lint),9453,10510
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Groundnut,694865,249457
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Horse-gram,1762,495
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Jowar,11131,14582
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Maize,3358,9540
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Masoor,23117,3861
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Moong(Green Gram),1546,1098
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Ragi,6215,11467
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,37991,105082
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Sesamum,8,2
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Urad,4,2
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Bajra,99,54
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Gram,26835,9365
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Groundnut,21785,25358
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Horse-gram,1071,327
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Jowar,21487,30576
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Linseed,12,1
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Maize,455,2203
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Masoor,98,10
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Moong(Green Gram),1,1
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Ragi,734,1180
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,20258,45669
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Safflower,881,145
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Sesamum,10,2
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Wheat,439,294
Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Dry chillies,5199,5759
